Word,Count,Question
north,15,Parking
traffic,15,Parking
way,13,Parking
year,12,Parking
time,11,Parking
south,11,Parking
stadium,11,Parking
people,11,Parking
waldron,11,Parking
one,11,Parking
field,11,Parking
expensive,11,Parking
garage,10,Parking
great,9,Parking
would,9,Parking
security,15,Gate
entrance,12,Gate
bag,12,Gate
year,10,Gate
rules,8,Gate
enter,8,Gate
experience,8,Gate
better,7,Gate
people,6,Gate
bring,5,Gate
last,5,Gate
even,5,Gate
fast,5,Gate
every,5,Gate
always,5,Gate
options,31,Concessions
discount,23,Concessions
games,17,Concessions
variety,17,Concessions
staff,16,Concessions
beer,16,Concessions
quality,14,Concessions
concessions,14,Concessions
expensive,14,Concessions
like,13,Concessions
prices,12,Concessions
time,11,Concessions
stand,10,Concessions
know,10,Concessions
lines,10,Concessions
variety,9,Merch
items,7,Merch
options,7,Merch
sizes,6,Merch
good,5,Merch
discount,5,Merch
cool,5,Merch
lack,5,Merch
online,4,Merch
shop,4,Merch
sold,4,Merch
quality,4,Merch
better,4,Merch
offered,4,Merch
hats,4,Merch
team,54,Renew
soccer,48,Renew
games,47,Renew
love,47,Renew
enjoy,34,Renew
family,26,Renew
going,22,Renew
year,20,Renew
hope,20,Renew
chicago,19,Renew
experience,16,Renew
friends,16,Renew
club,16,Renew
fan,15,Renew
live,15,Renew
year,34,Additional
experience,32,Additional
great,31,Additional
club,30,Additional
field,28,Additional
games,27,Additional
better,25,Additional
see,21,Additional
people,19,Additional
years,18,Additional
new,18,Additional
time,18,Additional
love,17,Additional
day,17,Additional
fans,17,Additional
